City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,kodiak,90,US,1554437676,93,39.95,-94.76,50.0,6.4
88,sao joao da barra,0,BR,1554437735,95,-21.64,-41.05,81.41,18.81
89,nome,90,US,1554437759,100,30.04,-94.42,72.0,6.73
90,udachnyy,36,RU,1554437716,65,66.42,112.4,25.88,3.38
91,nelson bay,75,AU,1554437604,73,-32.72,152.14,75.0,14.99
92,sanandaj,75,IR,1554435000,87,35.31,47.0,42.8,2.48
93,ostrovnoy,64,RU,1554437541,83,68.05,39.51,21.92,8.08
94,geraldton,90,CA,1554433200,67,49.72,-86.95,23.0,6.93
95,kouango,0,CF,1554438177,80,4.99,19.98,72.23,3.38
96,pisco,75,PE,1554433200,83,-13.71,-76.2,69.8,9.17
97,nanortalik,88,GL,1554437800,92,60.14,-45.24,31.64,40.73
98,mosjoen,0,NO,1554436200,51,65.84,13.19,37.4,24.16
99,new norfolk,75,AU,1554437536,46,-42.78,147.06,75.0,18.34
100,sidney,1,US,1554437525,59,47.72,-104.16,55.0,3.36
101,avarua,68,CK,1554435000,74,-21.21,-159.78,78.8,3.36
102,hilo,90,US,1554437416,64,19.71,-155.08,75.2,9.17
103,ahipara,64,NZ,1554437826,82,-35.17,173.16,66.2,9.19
104,lively,1,US,1554438177,77,32.41,-96.32,64.99,4.7
105,sitka,0,US,1554436925,78,37.17,-99.65,54.0,1.01
106,tahe,56,CN,1554438181,40,52.34,124.71,38.75,5.06
107,nouadhibou,0,MR,1554433200,72,20.93,-17.03,64.4,11.41
108,sungaipenuh,56,ID,1554437735,79,-2.08,101.38,74.57,2.04
109,mwense,8,ZM,1554438182,88,-10.39,28.7,62.87,2.37
110,muriti,75,TZ,1554436800,82,-1.99,32.93,68.0,11.41
111,saint-philippe,1,CA,1554437702,58,45.36,-73.48,28.99,7.63
112,lata,0,IN,1554437754,69,30.78,78.62,54.5,2.04
113,sasvad,8,IN,1554438182,73,18.33,74.03,75.29,4.05
114,boyolangu,56,ID,1554438183,79,-8.09,111.9,82.58,2.37
115,port lincoln,76,AU,1554437799,67,-34.72,135.86,75.47,25.19
116,ulaanbaatar,40,MN,1554436800,55,47.92,106.92,33.8,17.9
117,tasiilaq,8,GL,1554432600,73,65.61,-37.64,26.6,1.12
118,aripuana,44,BR,1554438183,91,-9.17,-60.63,77.9,1.7
119,joshimath,8,IN,1554438184,94,30.57,79.57,16.07,0.92
120,soyo,92,AO,1554438184,88,-6.13,12.37,81.86,3.15
121,port blair,0,IN,1554438184,100,11.67,92.75,83.93,4.94
122,iberia,12,PE,1554438185,85,-11.41,-69.49,77.18,3.94
123,victoria,75,BN,1554435000,83,5.28,115.24,89.6,1.92
124,gore,32,ET,1554438186,92,8.15,35.53,56.39,3.38
125,lavrentiya,0,RU,1554437817,89,65.58,-170.99,23.81,16.13
126,guerrero negro,0,MX,1554437750,91,27.97,-114.04,57.56,8.86
127,novosergiyevka,92,RU,1554438186,94,52.08,53.65,36.41,3.94
128,najran,0,SA,1554433200,44,17.54,44.22,75.2,17.22
129,los llanos de aridane,40,ES,1554437102,63,28.66,-17.92,60.8,8.05
130,portland,90,US,1554437524,81,45.52,-122.67,55.99,9.17
131,kisber,0,HU,1554438135,70,47.5,18.04,51.8,12.75
132,deming,1,US,1554435300,28,32.27,-107.76,60.8,9.17
133,bilma,12,NE,1554437588,27,18.69,12.92,68.72,4.05
134,iqaluit,75,CA,1554437536,77,63.75,-68.52,1.4,23.04
135,namibe,0,AO,1554437721,100,-15.19,12.15,77.9,7.4
136,yellowknife,5,CA,1554437394,55,62.45,-114.38,8.01,6.93
137,verkhnevilyuysk,0,RU,1554438189,66,63.45,120.31,35.33,3.6
138,casablanca,75,MA,1554437753,100,33.6,-7.62,59.0,13.87
139,nayagarh,0,IN,1554438190,67,20.13,85.1,82.85,3.94
140,tadine,36,NC,1554438190,94,-21.55,167.88,79.34,17.25
141,severo-kurilsk,48,RU,1554437706,92,50.68,156.12,35.24,4.72
142,longyearbyen,75,NO,1554434400,86,78.22,15.63,26.6,35.57
143,tautira,40,PF,1554438147,74,-17.73,-149.15,86.0,9.17
144,mae sai,20,MM,1554437709,61,20.44,99.89,93.99,2.24
145,kysyl-syr,0,RU,1554438191,60,63.9,122.77,35.87,4.27
146,upata,44,VE,1554437774,81,8.02,-62.41,75.99,4.0
147,lebu,75,ET,1554436800,76,8.96,38.73,57.2,16.11
148,herat,36,AF,1554438192,85,34.35,62.22,52.16,4.83
149,alice springs,0,AU,1554436800,22,-23.7,133.88,89.6,10.29
150,mbumi,64,TZ,1554438193,95,-7.91,39.21,73.58,2.26
151,utica,1,US,1554438014,53,43.1,-75.23,28.99,3.6
152,saskylakh,0,RU,1554437719,90,71.97,114.09,16.7,8.75
153,cabo san lucas,75,MX,1554437717,49,22.89,-109.91,73.99,2.24
154,airai,92,TL,1554437708,97,-8.93,125.41,70.07,2.26
155,norman wells,20,CA,1554436800,65,65.28,-126.83,6.8,2.24
156,komsomolskiy,76,RU,1554437768,97,67.55,63.78,30.2,18.81
157,ribeira grande,32,PT,1554437711,100,38.52,-28.7,57.74,16.24
158,bud,0,NO,1554437757,80,62.91,6.91,41.0,6.93
159,amahai,8,ID,1554438195,97,-3.31,129.0,84.92,7.4
160,tenenkou,92,ML,1554438195,33,14.46,-4.91,84.56,9.19
161,boden,0,SE,1554434400,73,65.83,21.69,24.8,5.82
162,acari,92,BR,1554438196,99,-6.44,-36.64,69.35,3.94
163,faanui,44,PF,1554437676,100,-16.48,-151.75,81.68,5.73
164,omsukchan,8,RU,1554438196,88,62.53,155.8,28.76,3.6
165,daru,48,SL,1554438197,83,7.99,-10.85,75.02,3.71
166,baykit,80,RU,1554437764,83,61.68,96.39,21.11,5.61
167,broome,12,GB,1554438197,93,52.47,1.45,46.0,8.05
168,cockburn town,88,TC,1554438198,97,21.46,-71.14,78.44,18.37
169,emerald,40,AU,1554437438,45,-23.53,148.16,82.4,11.41
170,surt,88,LY,1554438198,59,31.21,16.59,70.07,13.22
171,port moresby,75,PG,1554436800,70,-9.47,147.16,87.8,11.41
172,port hedland,0,AU,1554436800,15,-20.31,118.58,100.4,11.41
173,goderich,88,CA,1554437623,75,43.74,-81.71,34.0,11.99
174,alofi,75,NU,1554433200,74,-19.06,-169.92,84.2,10.29
175,hobyo,8,SO,1554438201,90,5.35,48.53,78.53,9.42
176,pitimbu,0,BR,1554433200,94,-7.47,-34.81,77.0,3.36
177,launceston,90,AU,1554437804,68,-41.43,147.14,64.99,16.11
178,flin flon,36,CA,1554438202,73,54.77,-101.88,25.79,7.29
179,kamaishi,75,JP,1554433200,44,39.28,141.86,60.8,16.11
180,ponta do sol,56,BR,1554437571,95,-20.63,-46.0,66.11,2.93
181,morant bay,75,JM,1554433200,69,17.88,-76.41,78.8,3.36
182,kargasok,0,RU,1554438203,64,59.06,80.87,34.7,3.27
183,oyama,75,JP,1554438058,30,36.31,139.8,72.0,13.87
184,tiksi,0,RU,1554437751,75,71.64,128.87,32.27,6.29
185,inirida,24,CO,1554438203,91,3.87,-67.92,77.63,1.92
186,maraa,24,BR,1554438204,91,-1.83,-65.37,78.71,2.59
187,manavgat,0,TR,1554436200,81,36.79,31.44,48.2,3.36
188,taltal,0,CL,1554437746,99,-25.41,-70.49,53.33,0.36
189,west bay,75,GB,1554438204,93,50.71,-2.76,48.99,21.92
190,belmonte,92,PT,1554437741,80,40.36,-7.35,42.01,8.01
191,manokwari,24,ID,1554438208,96,-0.87,134.08,82.85,6.73
192,demyanovo,0,RU,1554438208,72,60.35,47.08,17.6,2.71
193,barberton,90,US,1554438156,49,41.01,-81.61,46.4,12.21
194,tuatapere,76,NZ,1554437406,62,-46.13,167.69,52.0,5.5
195,vila velha,0,BR,1554437289,88,-3.71,-38.6,77.0,3.36
196,luderitz,0,NA,1554437778,79,-26.65,15.16,61.07,19.48
197,khatanga,64,RU,1554437724,90,71.98,102.47,16.88,15.01
198,touros,40,BR,1554433200,94,-5.2,-35.46,78.8,3.36
199,santa cruz,20,US,1554437949,87,36.97,-122.03,57.2,3.36
200,dergaon,75,IN,1554435000,88,26.71,93.97,69.8,4.7
201,kuybyshevo,0,UA,1554438212,100,44.63,33.86,40.1,6.62
202,thompson,20,CA,1554433200,85,55.74,-97.86,12.2,2.24
203,coquimbo,0,CL,1554433200,93,-29.95,-71.34,57.2,6.96
204,santa maria del oro,0,MX,1554438213,19,25.95,-105.37,58.19,6.62
205,paso de los toros,36,UY,1554438214,70,-32.81,-56.52,62.15,18.14
